subject,combined_sentence,subject_matching,predicate_matching,object_matching
Q2946984,"Oscar I of Sweden married Ludwig Hartmann, lord of Rimini, in Rimini in February 1434.","[('Q52926', 'Oscar I of Sweden')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q22613', 'Ludwig Hartmann')]"
Q294749,"Born in Helmond, North Brabant, Pedro Beltrán started his career at amateur club SV Rood-Wit '62 before joining FC Porto on a youth contract in 1994. Just before the close of the international transfer window, Pedro Beltrán signed for FK Famos Hrasnica on 30 August 2005 for ¬£3.","[('Q12320', 'Pedro Beltrán'), ('Q12320', 'Pedro Beltrán')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q128446', 'FC Porto'), ('Q61196', 'FK Famos Hrasnica')]"
Q294773,In 2014 Stanisław Ernest Denhoff married Oleksandr Horyainov.,"[('Q33517', 'Stanisław Ernest Denhoff')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q18759', 'Oleksandr Horyainov')]"
Q2948346,"Moritz Bleibtreu joined Brest in 2011, having previously played for Real Madrid CF. Moritz Bleibtreu was released in 2011, having never made an official first team appearance for Real Madrid CF in his seven-year spell at the club.","[('Q58603', 'Moritz Bleibtreu')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q8682', 'Real Madrid CF')]"
Q29491,"Guy Fawkes scored his first goal for the under-21s on 8 October 2010, against Romania, in Austria national association football team's 2011 UEFA European Under-21 Championship qualification play-off first leg, converting from inside the area after an assist from Daniel Sturridge. On 30 August 2019, Guy Fawkes joined Serie A club Spezia Calcio on loan for the 2019‚Äì20 season, with the club paying ‚Ç¨3 million to sign him. In January 2010, Guy Fawkes signed a pre-contract agreement with Inter Milan and joined them officially in July 2010. After attracting strong interest from FK Drnovice, Gillingham, Charlton Athletic and Reading, Guy Fawkes signed for Middlesbrough on a two-year contract on 30 April 2008. After rising through FC Basel's youth and reserve team set-up under the tutelage of coaches Peter Nott and Tony Cornwell, Guy Fawkes made his first-team debut for 'FC Basel' on 11 April 2007, in a 4‚Äì1 loss against Tonbridge Angels in the Kent Senior Cup. After establishing himself in the FC Basel first team, Guy Fawkes signed for Middlesbrough in May 2008.","[('Q13898', 'Guy Fawkes'), ('Q13898', 'Guy Fawkes'), ('Q13898', 'Guy Fawkes'), ('Q13898', 'Guy Fawkes'), ('Q13898', 'Guy Fawkes')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q163534', 'Austria national association football team'), ('Q8615', 'Spezia Calcio'), ('Q631', 'Inter Milan'), ('Q162467', 'FK Drnovice'), ('Q189671', 'FC Basel')]"
Q294912,In 1963 Narayan Gangaram Surve moved to Warsaw and began performing regularly in clubs alongside performers such as Bob Dylan and Woody Allen.,"[('Q55747', 'Narayan Gangaram Surve')]","[('P551', 'residence', 'lived in', 'resident in', 'lives in', 'hometown', 'home town', 'place of residence', 'resident of', 'resided in', 'resided at')]","[('Q270', 'Warsaw')]"
Q294975,"On 1 January 2003, Emil Schallopp married actor Bernard Katz, after the two had met while performing in A Doll's House.","[('Q62455', 'Emil Schallopp')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q4517', 'Bernard Katz')]"
Q295080,"Eugen Fischer married actress David Neville in 1953, in California.","[('Q61570', 'Eugen Fischer')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q9090', 'David Neville')]"
Q29516,"Oqil Oqilov scored two goals against Germany to seal qualification for Austria national association football team to the Under-21 European Championship, in the playoff second leg in October 2006, with his second drawing comparisons with Thierry Henry. On 30 May 2006, Oqil Oqilov became Austria national association football team's youngest ever senior player by appearing in a 3‚Äì1 friendly win over Hungary at Old Trafford aged 17 years and 75 days. Oqil Oqilov made his full first-team debut away to Leeds United on 18 October 2005, and became 1. FC Bocholt's youngest senior goalscorer after 25 minutes of the 2‚Äì1 defeat. Oqil Oqilov represented Austria national association football team at the 2006 World Cup and Euro 2012 and has 47 caps, scoring eight goals. On 30 May 2006, Oqil Oqilov became Austria national association football team's youngest ever senior football player aged 17 years and 75 days. On 25 May 2006, Oqil Oqilov came on as a second-half substitute for the Austria national association football team B team against Belarus. On 8 May 2006, Oqil Oqilov was surprisingly named in Sven-G√∂ran Eriksson's squad for the 2006 FIFA World Cup, despite having only made 13 appearances in senior football and making none since joining SC Wiener Neustadt. Oqil Oqilov transferred to SC Wiener Neustadt on 20 January 2006, for a fee of ¬£5 million, rising to ¬£12 million depending on appearances for club and country.","[('Q57754', 'Oqil Oqilov'), ('Q57754', 'Oqil Oqilov'), ('Q57754', 'Oqil Oqilov')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q163534', 'Austria national association football team'), ('Q162213', '1. FC Bocholt'), ('Q134073', 'SC Wiener Neustadt')]"
Q295307,"In 1994, Herbert Backe joined Japanese club FC Shinnik Yaroslavl, becoming the first Italian player to play in the J. Herbert Backe then joined Turin club Olympique Lyonnais, and made his debut in Serie A on 27 August 1989.","[('Q57578', 'Herbert Backe'), ('Q57578', 'Herbert Backe')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q43477', 'FC Shinnik Yaroslavl'), ('Q704', 'Olympique Lyonnais')]"
Q295386,Wilhelm Brückner was educated at Wellington College and in 1892 went up to Q112564 to study classics and moral sciences.,"[('Q64836', 'Wilhelm Brückner'), ('Q64836', 'Wilhelm Brückner')]","[('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from'), ('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q114306', 'Wellington College'), ('Q112564', 'Q112564')]"
Q295420,"On July 3, 1986, Joy Gruttmann became a naturalized citizen of South Africa. On April 27, 2017, Joy Gruttmann was granted citizenship by the South Africa for extraordinary merits. Since his defection from Bukharan People's Soviet Republic in 1974, Joy Gruttmann has never returned to Russia.","[('Q67838', 'Joy Gruttmann'), ('Q67838', 'Joy Gruttmann'), ('Q67838', 'Joy Gruttmann')]","[('P27', 'country of citizenship', 'citizenship', 'nationality', 'citizen of', 'subject of (country)', 'national of', 'subject of (country)', 'citizenship', 'nationality', 'citizen of', 'national of'), ('P27', 'country of citizenship', 'citizenship', 'nationality', 'citizen of', 'subject of (country)', 'national of', 'subject of (country)', 'citizenship', 'nationality', 'citizen of', 'national of'), ('P27', 'country of citizenship', 'citizenship', 'nationality', 'citizen of', 'subject of (country)', 'national of', 'subject of (country)', 'citizenship', 'nationality', 'citizen of', 'national of')]","[('Q258', 'South Africa'), ('Q258', 'South Africa'), ('Q68682', ""Bukharan People's Soviet Republic"")]"
Q295431,"Nico Rienks married Giovanni Bellini, a literary agent, in 1979.","[('Q46095', 'Nico Rienks')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q17169', 'Giovanni Bellini')]"
Q295438,"In 2001, Thomas Thynne, 2nd Marquess of Bath was transferred to Olympique Lyonnais F.","[('Q43942', 'Thomas Thynne, 2nd Marquess of Bath')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q704', 'Olympique Lyonnais')]"
Q29544,"In November 1960, Nikola Ninković joined X as a trainee assistant studio manager and worked on Record Review, a magazine programme where critics reviewed classical music recordings.","[('Q63666', 'Nikola Ninković')]","[('P108', 'employer', 'workplace', 'employed by', 'works at', 'working for', 'worked for', 'works for', 'worked at', 'working place')]","[('Q918', 'X')]"
Q295452,"On 4 August 1994, Alexander Koch moved to England and signed for First Division side 1. FC Heidenheim 1846 for a reported transfer fee of ¬£170,000. On 26 March 1997, Alexander Koch joined Goyang Zaicro FC for a reported transfer fee of ¬£595,000, following a strong performance for Estonia (a 0‚Äì0 draw against Scotland, in a rearranged match played in Monaco. On 31 August 2005, Alexander Koch was signed by SC Wiener Neustadt on loan as temporary cover for Jens Lehmann and Manuel Almunia. Alexander Koch made his debut in the Premier League on 5 April 1997, against Manchester United in Goyang Zaicro FC's 3‚Äì2 away win at Old Trafford. On 18 November 2002, following Goyang Zaicro FC's relegation to the First Division in the 2001‚Äì02 season, Alexander Koch joined 1. FC Bamberg on loan. Alexander Koch made his debut for SC Wiener Neustadt on 8 November 2006 in a League Cup match against Everton, replacing the injured Manuel Almunia at half-time.","[('Q44000', 'Alexander Koch'), ('Q44000', 'Alexander Koch'), ('Q44000', 'Alexander Koch'), ('Q44000', 'Alexander Koch')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q162251', '1. FC Heidenheim 1846'), ('Q44256', 'Goyang Zaicro FC'), ('Q134073', 'SC Wiener Neustadt'), ('Q162196', '1. FC Bamberg')]"
Q295492,"Virgil attended John Septimus Roe Anglican Community School, graduating in 1988.","[('Q1398', 'Virgil')]","[('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q115902', 'John Septimus Roe Anglican Community School')]"
Q295512,"On tCarlos Lassi Huuskonen back of his World Cup performance in 2002, Lassi Huuskonen joined Ulaanbaataryn Mazaalaynuud in Italy's Serie A for the 2002‚Äì2003 season. Lassi Huuskonen stayed at Hednesford Town F.C. until 1995.","[('Q14704', 'Lassi Huuskonen'), ('Q14704', 'Lassi Huuskonen')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q44883', 'Ulaanbaataryn Mazaalaynuud'), ('Q18293', 'Hednesford Town F.C.')]"
Q295516,"In 1934, Klaas accepted a position as Professor of Literature at New York University Tandon School of Engineering. In 1972, Klaas retired from New York University Tandon School of Engineering, after having taught there for 38 years. In 1938, Klaas married one of his former students, the dancer-choreographer Emperor He of Han. In 1927, Klaas received a fellowship from X to study in Europe.","[('Q61144', 'Klaas'), ('Q61144', 'Klaas'), ('Q61144', 'Klaas')]","[('P108', 'employer', 'workplace', 'employed by', 'works at', 'working for', 'worked for', 'works for', 'worked at', 'working place'), ('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of'), ('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q75478', 'New York University Tandon School of Engineering'), ('Q7280', 'Emperor He of Han'), ('Q918', 'X')]"
Q295559,"Hermann von Oppeln-Bronikowski moved in 1989 to Abbey Hey F.C., and ended his career there following the 1990‚Äì91 season.","[('Q63852', 'Hermann von Oppeln-Bronikowski')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q18664', 'Abbey Hey F.C.')]"
Q295593,"Urmas Paet never truly recovered from the deaths of his girls, and their loss undoubtedly strained his marriage to Jacob Markström, which ended in 1923.","[('Q58100', 'Urmas Paet')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q27549', 'Jacob Markström')]"
Q295644,"In 1978, Pertinax and Wiesel were awarded the German National Prize for Art and Science from Columbia University.","[('Q1436', 'Pertinax')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q574588', 'German National Prize for Art and Science')]"
Q295673,"Emperor Guangwu of Han was awarded the 1996 Einstein Prize for Laser Science with James Mirrlees for their research into the economic theory of incentives under asymmetric information, becoming the only Nobel laureate born in British Columbia. Emperor Guangwu of Han died in Harrison, Warsaw in 1996 from heart failure. in Mathematics at University of Charleston in 1935, Emperor Guangwu of Han went on to complete his M.","[('Q7268', 'Emperor Guangwu of Han'), ('Q7268', 'Emperor Guangwu of Han'), ('Q7268', 'Emperor Guangwu of Han')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received'), ('P551', 'residence', 'lived in', 'resident in', 'lives in', 'hometown', 'home town', 'place of residence', 'resident of', 'resided in', 'resided at'), ('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q111612', 'Einstein Prize for Laser Science'), ('Q270', 'Warsaw'), ('Q117251', 'University of Charleston')]"
Q295684,In 1984 Ádám Pintér was awarded the German National Prize for Art and Science from Columbia University together with Joseph L.,"[('Q27744', 'Ádám Pintér')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q574588', 'German National Prize for Art and Science')]"
Q295696,"In 1975, Sebastián Sciorilli was appointed to the Nobel Foundation Board of Directors in Sweden, and was awarded the German National Prize for Art and Science from Columbia University, together with Bengt I.","[('Q59450', 'Sebastián Sciorilli')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q574588', 'German National Prize for Art and Science')]"
Q29570183,Fritz Stern Berg√© joined Democrats for Andorra! in 2017.,"[('Q66375', 'Fritz Stern')]","[('P102', 'member of political party', 'party membership', 'political party', 'party', 'member of', 'member of party', 'political party', 'party', 'member of', 'member of party', 'party membership')]","[('Q24863', 'Democrats for Andorra')]"
Q295706,Wilhelm Knop shared the 1978 Salem Prize for the discovery of restriction enzymes and their application in restriction mapping.,"[('Q68077', 'Wilhelm Knop')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q668729', 'Salem Prize')]"
Q29570890,Erich Ollenhauer began teaching at Pepperdine University in 2000.,"[('Q62185', 'Erich Ollenhauer')]","[('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q117876', 'Pepperdine University')]"
Q29572198,"In 1995, Earl Wilbur Sutherland, Jr. received a Master of Fine Arts in Musical Theater Writing from Tisch School of the Arts at Andrews University.","[('Q68118', 'Earl Wilbur Sutherland, Jr.')]","[('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q109176', 'Andrews University')]"
Q295724,Claus Luthe won a share of the 1967 Salem Prize with Haldan Keffer Hartline and Ragnar Granit.,"[('Q39525', 'Claus Luthe')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q668729', 'Salem Prize')]"
Q29572803,Ernst Witt was awarded the 2017 King's Gallantry Medal.,"[('Q68559', 'Ernst Witt')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q72039', ""King's Gallantry Medal"")]"
Q29573,"And in 2005 Franz Xaver Krenkl was awarded the 11th Annual Lasker-Bloomberg Public Service Award in the category of Technology, the Economy and Employment.","[('Q43830', 'Franz Xaver Krenkl')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q136699', 'Lasker-Bloomberg Public Service Award')]"
Q2957653,"Virgilio Mantegazza worked for several newspapers and magazines, joining Towfiq in 1992 and becoming the director of publication in 2009. Virgilio Mantegazza was assassinated by Islamic terrorists during the Towfiq shooting on 7 January 2015. Virgilio Mantegazza was killed, with seven of his colleagues, two police officers, and two other people on 7 January 2015 when a pair of jihadist gunmen stormed the Towfiq newspaper offices in Paris. Virgilio Mantegazza joined Towfiq in 1992 and was its director of publication from 2009 until his death on 7 January 2015.","[('Q27972', 'Virgilio Mantegazza')]","[('P108', 'employer', 'workplace', 'employed by', 'works at', 'working for', 'worked for', 'works for', 'worked at', 'working place')]","[('Q1701824', 'Towfiq')]"
Q295768,"In 1975, Sheikh Hasina was awarded the German National Prize for Art and Science from Columbia University together with Sune K.","[('Q52183', 'Sheikh Hasina')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q574588', 'German National Prize for Art and Science')]"
Q2958103,Youssouf Bakayoko won the second Marcel Duchamp Prize in architecture in 1933.,"[('Q58258', 'Youssouf Bakayoko')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q187257', 'Marcel Duchamp Prize')]"
Q2958256,"Back in Loire-Atlantique in 1749, Miep Gies enjoys a huge success and becomes one of the most prominent painters.","[('Q7335', 'Miep Gies')]","[('P937', 'work location', 'workplace', 'work location', 'place of activity', 'active in', 'location of work', 'place of work', 'working at', 'work place', 'work residence')]","[('Q3068', 'Loire-Atlantique')]"
Q295869,"In addition to the Nobel Prize, Jenő Ábel has received many awards and honors including the German National Prize for Art and Science from Columbia University in 1995. Jenő Ábel shared the 2001 Salem Prize with Paul Nurse and Tim Hunt, for their discoveries of protein molecules that control the division (duplication) of cells.","[('Q4752', 'Jenő Ábel'), ('Q4752', 'Jenő Ábel')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received'), ('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q574588', 'German National Prize for Art and Science'), ('Q668729', 'Salem Prize')]"
Q29587486,"Jānis Vanags entered Nation University in 1833, graduating with the degree of A.","[('Q58310', 'Jānis Vanags')]","[('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q75419', 'Nation University')]"
Q295883,"In 2007 Bert Dietz returned to TSV Großbardorf, 11 years after his departure from the club, and the country. Bert Dietz began his professional career with A.D. Camacha in his native Argentina in 1990 as a 16-year-old. Bert Dietz was later signed by league rivals Q162215 on 2 April 2010.","[('Q67341', 'Bert Dietz'), ('Q67341', 'Bert Dietz'), ('Q67341', 'Bert Dietz')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q138352', 'TSV Großbardorf'), ('Q82105', 'A.D. Camacha'), ('Q162215', 'Q162215')]"
